,Variable 1,Variable 2,Correlation
15,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.06972847042
16,"8. In a semester, how often you felt as if your academic performance was on top?","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.1582317604
17,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.4620667741
18,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.5375439664
19,Stress Value,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.605473423
20,"1. In a semester, how often have you had little interest or pleasure in doing things?","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.1787230247
21,"2. In a semester, how often have you been feeling down, depressed or hopeless?","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.592704516
22,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.4403352444
23,"4. In a semester, how often have you been feeling tired or having little energy? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.5004715665
24,"5. In a semester, how often have you had poor appetite or overeating? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.4152410743
25,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.5555603401
26,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.4836293586
27,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.4282533819
28,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.4160948364
29,Depression Value,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",0.6276240931
30,Anxiety_is_missing,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ",
31,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.495772145
32,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",1
33,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.4735362851
34,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.4818882868
35,"5. In a semester, how often have you worried too much about academic affairs? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.4989645997
36,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.4412171277
37,"7. In a semester, how often have you felt afraid, as if something awful might happen?","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.4478997555
38,Anxiety Value,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.6985474459
39,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.3426872771
40,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.3565133379
41,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.3670515281
42,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.368907125
43,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",-0.02371035888
44,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.07886140886
45,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",-0.02313689447
46,"8. In a semester, how often you felt as if your academic performance was on top?","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.04563840642
47,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.3289432982
48,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.3715369628
49,Stress Value,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.3840819541
50,"1. In a semester, how often have you had little interest or pleasure in doing things?","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.1873946781
51,"2. In a semester, how often have you been feeling down, depressed or hopeless?","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.4261267977
52,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.3635429936
53,"4. In a semester, how often have you been feeling tired or having little energy? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.3938091968
54,"5. In a semester, how often have you had poor appetite or overeating? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.361505124
55,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.4171269038
56,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.3885535117
57,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.3249062959
58,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.2894799446
59,Depression Value,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",0.4921706666
60,Anxiety_is_missing,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ",
61,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.5113901267
62,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.4735362851
63,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",1
64,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.5645504772
65,"5. In a semester, how often have you worried too much about academic affairs? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.5179285154
66,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.5190285957
67,"7. In a semester, how often have you felt afraid, as if something awful might happen?","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.4993639291
68,Anxiety Value,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.7400754316
69,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.3775100087
70,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.4002763652
71,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.4251095581
72,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.4014057673
73,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",-0.001641016278
74,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.07029144805
75,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.01162159196
76,"8. In a semester, how often you felt as if your academic performance was on top?","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.04968650397
77,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.3655117985
78,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.412267589
79,Stress Value,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.4348058966
80,"1. In a semester, how often have you had little interest or pleasure in doing things?","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.2053561437
81,"2. In a semester, how often have you been feeling down, depressed or hopeless?","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.4945476887
82,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.4384299364
83,"4. In a semester, how often have you been feeling tired or having little energy? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.4749764083
84,"5. In a semester, how often have you had poor appetite or overeating? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.3724125842
85,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.4441082667
86,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.4369332194
87,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.3717618727
88,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.3185063144
89,Depression Value,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ",0.5549053327
90,Anxiety_is_missing,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ",
91,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.6351927208
92,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.4818882868
93,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.5645504772
94,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",1
95,"5. In a semester, how often have you worried too much about academic affairs? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.6959838948
96,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.5837022449
97,"7. In a semester, how often have you felt afraid, as if something awful might happen?","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.6050700845
98,Anxiety Value,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.8245252825
99,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.4593468888
100,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.4921511763
101,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.5241079588
102,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.4950019602
103,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.04923200857
104,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.1307814029
105,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.05487220954
106,"8. In a semester, how often you felt as if your academic performance was on top?","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.1420778962
107,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.4721861664
108,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.5313371915
109,Stress Value,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.5776695928
110,"1. In a semester, how often have you had little interest or pleasure in doing things?","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.2048512359
111,"2. In a semester, how often have you been feeling down, depressed or hopeless?","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.5889611514
112,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.443092062
113,"4. In a semester, how often have you been feeling tired or having little energy? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.508928309
114,"5. In a semester, how often have you had poor appetite or overeating? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.4235949859
115,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.563925443
116,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.5039701008
117,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.4474334735
118,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.4222471957
119,Depression Value,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",0.6422835408
120,Anxiety_is_missing,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?",
121,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","5. In a semester, how often have you worried too much about academic affairs? ",0.6431534526
122,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","5. In a semester, how often have you worried too much about academic affairs? ",0.4989645997
123,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","5. In a semester, how often have you worried too much about academic affairs? ",0.5179285154
124,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","5. In a semester, how often have you worried too much about academic affairs? ",0.6959838948
125,"5. In a semester, how often have you worried too much about academic affairs? ","5. In a semester, how often have you worried too much about academic affairs? ",1
126,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","5. In a semester, how often have you worried too much about academic affairs? ",0.6608510813
127,"7. In a semester, how often have you felt afraid, as if something awful might happen?","5. In a semester, how often have you worried too much about academic affairs? ",0.662909191
128,Anxiety Value,"5. In a semester, how often have you worried too much about academic affairs? ",0.846619663
129,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","5. In a semester, how often have you worried too much about academic affairs? ",0.4358083268
130,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","5. In a semester, how often have you worried too much about academic affairs? ",0.4595285745
131,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","5. In a semester, how often have you worried too much about academic affairs? ",0.5125000866
132,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","5. In a semester, how often have you worried too much about academic affairs? ",0.4764667875
133,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","5. In a semester, how often have you worried too much about academic affairs? ",0.01915142117
134,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","5. In a semester, how often have you worried too much about academic affairs? ",0.1276306905
135,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","5. In a semester, how often have you worried too much about academic affairs? ",0.0345876851
136,"8. In a semester, how often you felt as if your academic performance was on top?","5. In a semester, how often have you worried too much about academic affairs? ",0.105317869
137,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","5. In a semester, how often have you worried too much about academic affairs? ",0.4748804734
138,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","5. In a semester, how often have you worried too much about academic affairs? ",0.4972391247
139,Stress Value,"5. In a semester, how often have you worried too much about academic affairs? ",0.5426580736
140,"1. In a semester, how often have you had little interest or pleasure in doing things?","5. In a semester, how often have you worried too much about academic affairs? ",0.190280588
141,"2. In a semester, how often have you been feeling down, depressed or hopeless?","5. In a semester, how often have you worried too much about academic affairs? ",0.6162507896
142,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","5. In a semester, how often have you worried too much about academic affairs? ",0.4520734476
143,"4. In a semester, how often have you been feeling tired or having little energy? ","5. In a semester, how often have you worried too much about academic affairs? ",0.5151107825
144,"5. In a semester, how often have you had poor appetite or overeating? ","5. In a semester, how often have you worried too much about academic affairs? ",0.4251313929
145,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","5. In a semester, how often have you worried too much about academic affairs? ",0.5762947658
146,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","5. In a semester, how often have you worried too much about academic affairs? ",0.5131043533
147,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","5. In a semester, how often have you worried too much about academic affairs? ",0.4349418917
148,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","5. In a semester, how often have you worried too much about academic affairs? ",0.3896936657
149,Depression Value,"5. In a semester, how often have you worried too much about academic affairs? ",0.6429354274
150,Anxiety_is_missing,"5. In a semester, how often have you worried too much about academic affairs? ",
151,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.580193985
152,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.4412171277
153,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.5190285957
154,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.5837022449
155,"5. In a semester, how often have you worried too much about academic affairs? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.6608510813
156,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",1
157,"7. In a semester, how often have you felt afraid, as if something awful might happen?","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.620680361
158,Anxiety Value,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.7979150687
159,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.3967514528
160,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.4229601933
161,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.4590516267
162,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.4223258886
163,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",-0.004463194729
164,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.07245177945
165,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",-0.002120983201
166,"8. In a semester, how often you felt as if your academic performance was on top?","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.05612156353
167,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.4206114561
168,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.4391473852
169,Stress Value,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.4646850696
170,"1. In a semester, how often have you had little interest or pleasure in doing things?","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.1895605513
171,"2. In a semester, how often have you been feeling down, depressed or hopeless?","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.5597378116
172,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.4429765143
173,"4. In a semester, how often have you been feeling tired or having little energy? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.5336339176
174,"5. In a semester, how often have you had poor appetite or overeating? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.4125096637
175,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.5003386434
176,"7. In a semester, how often have you been having trouble concentrating on things, such as reading the books or watching television? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.4512947765
177,"8. In a semester, how often have you moved or spoke too slowly for other people to notice? Or you've been moving a lot more than usual because you've been restless? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.4389579905
178,"9. In a semester, how often have you had thoughts that you would be better off dead, or of hurting yourself? ","6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.3873049951
179,Depression Value,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",0.6117454482
180,Anxiety_is_missing,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?",
181,"1. In a semester, how often you felt nervous, anxious or on edge due to academic pressure? ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.598136723
182,"2. In a semester, how often have you been unable to stop worrying about your academic affairs? ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.4478997555
183,"3. In a semester, how often have you had trouble relaxing due to academic pressure? ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.4993639291
184,"4. In a semester, how often have you been easily annoyed or irritated because of academic pressure?","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.6050700845
185,"5. In a semester, how often have you worried too much about academic affairs? ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.662909191
186,"6. In a semester, how often have you been so restless due to academic pressure that it is hard to sit still?","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.620680361
187,"7. In a semester, how often have you felt afraid, as if something awful might happen?","7. In a semester, how often have you felt afraid, as if something awful might happen?",1
188,Anxiety Value,"7. In a semester, how often have you felt afraid, as if something awful might happen?",0.8072923754
189,"1. In a semester, how often have you felt upset due to something that happened in your academic affairs? ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.452806248
190,"2. In a semester, how often you felt as if you were unable to control important things in your academic affairs?","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.4596164048
191,"3. In a semester, how often you felt nervous and stressed because of academic pressure? ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.4746685207
192,"4. In a semester, how often you felt as if you could not cope with all the mandatory academic activities? (e.g, assignments, quiz, exams) ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.4349636245
193,"5. In a semester, how often you felt confident about your ability to handle your academic / university problems?","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.02999667867
194,"6. In a semester, how often you felt as if things in your academic life is going on your way? ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.1085638347
195,"7. In a semester, how often are you able to control irritations in your academic / university affairs? ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.05061713212
196,"8. In a semester, how often you felt as if your academic performance was on top?","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.1079833388
197,"9. In a semester, how often you got angered due to bad performance or low grades that is beyond your control? ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.4677710719
198,"10. In a semester, how often you felt as if academic difficulties are piling up so high that you could not overcome them? ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.4792629277
199,Stress Value,"7. In a semester, how often have you felt afraid, as if something awful might happen?",0.5289238062
200,"1. In a semester, how often have you had little interest or pleasure in doing things?","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.2093998809
201,"2. In a semester, how often have you been feeling down, depressed or hopeless?","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.6252545879
202,"3. In a semester, how often have you had trouble falling or staying asleep, or sleeping too much? ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.4826707628
203,"4. In a semester, how often have you been feeling tired or having little energy? ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.5095726101
204,"5. In a semester, how often have you had poor appetite or overeating? ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.4314998084
205,"6. In a semester, how often have you been feeling bad about yourself - or that you are a failure or have let yourself or your family down? ","7. In a semester, how often have you felt afraid, as if something awful might happen?",0.5837128137
